-22.889030602068118;-43.60167842925194;EM;Rômulo Gallegos
-22.906205004566445;-43.56085102928288;EM;Venezuela
-22.90527810443365;-43.54916952925876;EM;Ubaldina Dias Jacaré
-22.923121907007232;-43.51890862924837;EM;Alfredo Cesário Alvim
-22.917361106183538;-43.558588229257516;EM;João Proença
-22.90148825389395;-43.549142479279276;EM;Rosaria Trotta
-22.933184508476486;-43.56003512926113;EM;Professor Felipe Santiago
-22.917466906191272;-43.53840032925299;EM;Castro Alves
-22.91048080519063;-43.54957602926327;EM;Dom Meinrado
-22.92511530730222;-43.56631082927819;EM;Miguel de Larreinaga
-22.909258905014433;-43.53558002926941;EM;Mafalda Teixeira de Alvarenga
-22.915065405848782;-43.53224512925584;EM;Rubens de Farias Neves
-22.906381704595557;-43.57176682926572;EM;Almirante Saldanha da Gama
-22.92109210672559;-43.56455652926161;EM;Presidente Arthur Bernardes
-22.932094108315052;-43.57479432925331;EM;Raymundo Corrêa
-22.910524555184058;-43.57572777927162;EM;George Washington
-22.92276460696527;-43.56076902927861;EM;Doutor Nelcy Noronha
-22.90829710487693;-43.54371452926861;EM;Professor Gilberto Bento da Silva-23.06731440162946;-44.9236289629837;EM;Santa Isabel
-22.910353505172914;-43.55173002926044;EM;Pugilista Virgulino Isaias de Oliveira
-22.917174906156497;-43.581008829267645;EM;São Camilo de Lelis
-22.900765803775364;-43.550511929266726;EM;Professora Marita de Vasconcelos
-22.88451280142449;-43.551325929267335;EM;Visconde do Rio Branco
-22.83823229473918;-43.55502532927427;EM;Professor Floriano de Brito
-22.857212697476427;-43.540976729271755;EM;Casemiro de Abreu
-22.875753000160273;-43.56027922926934;EM;Professor Manuel Said Ali
-22.88451920142883;-43.56065292927825;EM;Baltazar Lisboa
-22.89064750232545;-43.563446229273424;EM;Charles Peguy
-22.883394101268937;-43.620536929258755;EM;Augusto Vasconcelos
-22.86894809917367;-43.55573142924834;EM;Tóquio
-22.887417301852967;-43.55688472926653;EM;Almirante Frontin
-22.89774390333301;-43.569028029269624;EM;Halfeld
-22.881328700968908;-43.56591672927083;EM;Jorge de Lima
-22.884387501402855;-43.56973717925637;EM;Amazonas
-22.87778400045693;-43.58361622924353;EM;Luiz Edmundo
-22.889873202205656;-43.58110012927547;EM;Rainha Vitoria
-22.890335102259225;-43.59404042925439;EM;Fernando Costa
-22.885112901519808;-43.576416729249424;EM;Benjamin Franklin
-22.88003690078476;-43.582222829259955;EM;Professora Jurema Peçanha Giraud
-22.890720702330096;-43.571553729248784;EM;Von Martius
-22.89428890283931;-43.557920929253136;EM;Charles Dickens
-22.87944290069061;-43.61427182925172;EM;Ministro Adaucto Lúcio Cardoso
-22.889053602073627;-43.57867142925258;EM;Embaixador Araújo Castro
-22.86836169909366;-43.556745829278825;EM;Ministro Alcides Carneiro
-22.889402802129656;-43.56811002927277;EM;Dr. Jair Tavares de Oliveira
-22.895010802939556;-43.587261129256966;EM;Gastão Penalva
-22.88664200172814;-43.54866202926874;EM;Alzira Araujo
-22.85167559668284;-43.542540229266265;EM;Constantino Magalhães
-22.870596099411895;-43.561401329272705;EM;Comunidade Jardim Pedregoso
-22.858830597716725;-43.53703272925405;EM;Cora Coralina
-22.89975600363625;-43.565526829274916;EEM;Maria Montessori
-22.930561708106673;-43.57640112926924;EM;Professor Alfredo de Pires Flores
-22.85490029714524;-43.53151682927465;EM;Professor Fábio César Pacífico
-22.919634306515345;-43.54772592926212;EM;Professora Sonia Maria Maltez Fernandez
-22.89910880353957;-43.58454012928116;EM;Moacyr Scliar
-22.891687780147024;-43.55340657098108;EM;Professor Antônio Boaventura
-22.87775940044679;-43.53856522926466;EM;Dulce Araújo "Tia Dulce"
-22.88367900130514;-43.61870542924943;EM;Medalhista Olímpica Mayra Aguiar da Silva
-22.92512180730735;-43.56690752926973;CP;Clementina de Jesus
-22.913265505585844;-43.54326372926731;EM;Professor Gonçalves
-22.93117050818295;-43.54828272925222;EM;Presidente Nereu Ramos
-22.90853590490368;-43.54108242926158;CP;Lamartine Babo
-22.898966703508112;-43.535105329248786;CP;Francisco Cavalcante Pontes de Miranda
-22.927488507642412;-43.55630382926756;CP;Anita Malfatti
-22.887315401846916;-43.587293829269534;CP;Professor Darcy Ribeiro
-22.886808001755426;-43.556618229269255;CP;Dr. Ernesto (Che) Guevara
-22.895641703030932;-43.570702229253406;CP;Nelson Mandela
-22.89059490230129;-43.580841029273174;CP;Armindo Marcílio Doutel de Andrade
-22.891743602466406;-43.56174272925371;CM;Cecília Meireles
-22.84272629539031;-43.50640222926972;CM;Sonho Feliz
-22.9123389054566;-43.53293082927726;CM;Jardim Monte Santo
-22.88875370204761;-43.58720162928066;CM;Adélia Vieira
-22.883565201293752;-43.60492352925678;CM;Mário Lombardi
-22.913557805631775;-43.53099142928098;CM;Zélia Chauke Curi
-22.87702470034856;-43.58057002925729;CM;Padre Valter da Costa Santos
-22.911101505278598;-43.590306029261164;CM;Criando o Futuro
-22.899782203642538;-43.53403812925039;CM;Raul Cortez
-22.92075450667476;-43.555947429244625;CM;Emilio Ibrahim Lázaro Jubram Dib
-22.88585920162373;-43.559866929267216;CM;Elizabeth Tavares de Souza - Betinha
-22.882003401056057;-43.61260852926251;EDI;Pintando o Sete
-22.912134205433848;-43.578178129263335;EDI;Ludmila Máximo Moreira Cardoso
-22.879650200720285;-43.613796729269154;EDI;Renan de Souza Leal
-22.898002903380963;-43.584390929246744;EDI;Cantora Cesária Évora
-22.892720302618677;-43.56746492927643;EDI;Urbano de Freitas
